Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac1,RecInac2,RecInac3,RecInac4,RecInac5,RecInac6,RecInac7,Compound Name,Seal Resistance,Capacitance
Time of Sweep ,,4.3420,4.3420,4.3420,4.3420,4.3420,4.3420,4.3420,4.3420,4.3420,4.3420,4.3420
A01,T,-3.468289E-10,-5.728870E-11,-7.277214E-11,-9.909397E-11,-1.130291E-10,-1.300608E-10,-1.486410E-10,-1.594794E-10,NMDG60/2,1.504590E+9,1.671573E-11
B01,T,-3.952920E-9,-2.152197E-10,-6.688843E-10,-1.198418E-9,-1.659824E-9,-2.060845E-9,-2.341095E-9,-2.585733E-9,NMDG60/2,5.474558E+8,1.511811E-11
C01,T,-2.740567E-10,-8.361054E-11,-1.037390E-10,-9.754562E-11,-9.909397E-11,-9.444894E-11,-9.444894E-11,-9.909397E-11,NMDG60/2,7.179525E+8,7.842840E-12
D01,T,-4.761155E-9,-2.368965E-10,-6.704327E-10,-1.302157E-9,-1.859560E-9,-2.248195E-9,-2.564057E-9,-2.875273E-9,NMDG60/2,3.910404E+8,2.019392E-11
E01,F,9.893913E-10,1.176741E-9,1.193773E-9,1.192224E-9,1.165902E-9,1.155064E-9,1.186031E-9,1.164354E-9,NMDG60/2,8.654204E+7,1.722518E-11
F01,F,-7.741716E-11,-8.980391E-11,-6.812710E-11,-6.657876E-11,-6.193373E-11,-4.954698E-11,-3.251521E-11,-2.941852E-11,NMDG60/2,3.570106E+8,9.493025E-12
G01,F,1.393509E-10,-9.754562E-11,-4.645030E-11,-1.548343E-12,1.548343E-11,4.180527E-11,6.348207E-11,6.348207E-11,NMDG60/2,1.240507E+8,NaN
H01,T,-5.509005E-9,-1.873495E-10,-8.841040E-10,-1.656727E-9,-2.328708E-9,-2.870628E-9,-3.297971E-9,-3.647897E-9,NMDG60/2,7.725785E+8,2.023172E-11
I01,T,-2.353482E-9,-6.967545E-11,-1.579310E-10,-3.050236E-10,-4.041176E-10,-5.512102E-10,-6.642393E-10,-8.190736E-10,NMDG60/2,5.193368E+8,7.843249E-12
J01,T,-4.549033E-9,-1.083840E-10,-4.923731E-10,-9.367477E-10,-1.376477E-9,-1.780595E-9,-2.096457E-9,-2.376707E-9,NMDG60/2,1.389365E+9,1.545136E-11
K01,F,-2.472704E-9,-2.012846E-11,-2.090263E-10,-4.319878E-10,-6.797227E-10,-8.453954E-10,-1.020358E-9,-1.130291E-9,NMDG60/2,3.327989E+8,1.127797E-11
L01,F,5.109533E-11,1.424476E-10,8.051385E-11,5.109533E-11,2.941852E-11,3.406355E-11,2.477349E-11,6.038538E-11,NMDG60/2,2.385840E+8,1.908863E-11
M01,F,5.419202E-11,5.574036E-11,5.574036E-11,5.109533E-11,5.574036E-11,5.883705E-11,4.954698E-11,5.419202E-11,NMDG60/2,NaN,NaN
N01,T,-1.141129E-9,3.251521E-11,6.038538E-11,2.787018E-11,2.941852E-11,2.787018E-11,4.645030E-12,1.238675E-11,NMDG60/2,4.901559E+9,7.831438E-12
O01,T,-1.378025E-10,-1.393509E-10,-1.470926E-10,-1.223191E-10,-1.362542E-10,-1.362542E-10,-1.300608E-10,-1.501893E-10,NMDG60/2,4.438180E+8,7.453578E-12
P01,F,-7.834617E-10,-9.444894E-11,-1.223191E-10,-1.610277E-10,-1.935429E-10,-2.167681E-10,-2.647667E-10,-3.081203E-10,NMDG60/2,5.806151E+8,4.890989E-12
A02,T,-5.349526E-9,-3.963759E-10,-1.395057E-9,-2.303935E-9,-2.948046E-9,-3.420290E-9,-3.733056E-9,-3.979242E-9,NMDG60/2,1.783588E+9,1.244454E-11
B02,T,1.439959E-10,7.741716E-12,2.322515E-11,5.883705E-11,9.754562E-11,1.269641E-10,1.656727E-10,2.152197E-10,NMDG60/2,3.165387E+7,7.906998E-12
C02,T,-1.145774E-9,4.335361E-11,-3.561190E-11,-9.754562E-11,-1.734144E-10,-2.214131E-10,-2.988302E-10,-3.561189E-10,NMDG60/2,1.606387E+9,8.571841E-12
D02,F,5.073456E-8,5.073456E-8,5.073456E-8,5.073456E-8,5.073456E-8,5.073456E-8,5.073456E-8,5.073456E-8,NMDG60/2,NaN,7.134652E-12
E02,F,-2.012846E-11,-1.393509E-11,-1.858012E-11,-2.167681E-11,-2.632184E-11,-2.941852E-11,-2.941852E-11,-1.858012E-11,NMDG60/2,1.240719E+8,NaN
F02,F,-6.069505E-10,-7.137863E-10,-2.969722E-9,-3.446612E-9,-3.657187E-9,-3.742346E-9,-3.807376E-9,-3.389323E-9,NMDG60/2,8.485944E+7,NaN
G02,F,3.437322E-10,7.292697E-10,7.246246E-10,6.983028E-10,6.952061E-10,6.719810E-10,6.642393E-10,6.441108E-10,NMDG60/2,4.201566E+7,NaN
H02,F,-2.735923E-9,-2.043813E-10,-1.450798E-9,-2.149100E-9,-2.399932E-9,-2.505219E-9,-2.550121E-9,-2.595023E-9,NMDG60/2,1.009782E+9,1.543215E-11
I02,F,-5.264367E-11,-1.223191E-10,-1.207708E-10,-1.037390E-10,-1.021907E-10,-9.754562E-11,-9.754562E-11,-8.980391E-11,NMDG60/2,1.313287E+8,NaN
J02,T,-8.004934E-10,-4.180527E-11,-4.180527E-11,-5.419202E-11,-4.335361E-11,-5.728870E-11,-5.574036E-11,-7.896551E-11,NMDG60/2,8.461361E+8,5.060604E-12
K02,F,-3.251521E-11,-1.052873E-10,-1.052873E-10,-8.980391E-11,-7.586882E-11,-6.503042E-11,-6.348207E-11,-7.277214E-11,NMDG60/2,7.221170E+8,1.140021E-11
L02,F,-8.825557E-11,-1.130291E-10,-1.888979E-10,-2.059296E-10,-2.198647E-10,-2.214131E-10,-2.183164E-10,-1.780595E-10,NMDG60/2,1.075359E+8,9.637387E-12
M02,F,-3.251521E-11,-2.787018E-11,-2.941852E-11,-3.870858E-11,-3.251521E-11,-2.941852E-11,-3.096686E-11,-3.096686E-11,NMDG60/2,1.156475E+8,NaN
N02,F,-1.003326E-9,-8.995875E-10,-1.119452E-9,-1.128742E-9,-1.237126E-9,-1.000230E-9,-1.199966E-9,-1.203063E-9,NMDG60/2,1.507513E+8,2.436550E-11
O02,F,-2.093360E-9,-5.109533E-11,-1.455443E-10,-2.477349E-10,-4.041176E-10,-5.155983E-10,-6.301757E-10,-7.617849E-10,NMDG60/2,6.751967E+8,6.639205E-12
P02,F,-3.310358E-9,-6.812710E-11,-3.050236E-10,-6.379174E-10,-9.259093E-10,-1.190676E-9,-1.402799E-9,-1.627309E-9,NMDG60/2,1.189515E+9,1.296710E-11
A03,T,0.000000E+0,-2.787018E-10,-2.601217E-10,-2.430899E-10,-2.430899E-10,-2.059296E-10,-2.183164E-10,-2.043813E-10,NMDG60/2,2.444805E+8,5.646250E-12
B03,F,7.586882E-11,1.703178E-11,2.941852E-11,4.335361E-11,4.490195E-11,5.574036E-11,6.038538E-11,6.503042E-11,NMDG60/2,2.116045E+8,3.767523E-12
C03,T,-6.626909E-10,-3.096686E-11,-2.941852E-11,-2.322515E-11,-2.477349E-11,-2.322515E-11,-3.716024E-11,-3.716024E-11,NMDG60/2,2.599854E+8,6.684370E-12
D03,F,3.716024E-11,-7.741716E-12,-9.290060E-12,-1.548343E-12,-7.741716E-12,1.393509E-11,1.548343E-12,4.645030E-12,NMDG60/2,6.098142E+8,1.130772E-11
