Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac1,RecInac2,RecInac3,RecInac4,RecInac5,RecInac6,RecInac7,Compound Name,Seal Resistance,Capacitance
Time of Sweep ,,4.7570,4.7570,4.7570,4.7570,4.7570,4.7570,4.7570,4.7570,4.7570,4.7570,4.7570
A01,T,-1.036236E-10,-7.887767E-11,-6.805132E-11,-7.114456E-11,-7.887767E-11,-1.020770E-10,-8.970402E-11,-9.898374E-11,NMDG60/2,1.031312E+9,1.184065E-11
B01,T,-1.466197E-9,-3.510829E-10,-1.531155E-10,-3.696424E-10,-5.892626E-10,-7.779503E-10,-9.032266E-10,-9.851975E-10,NMDG60/2,6.943256E+8,1.073638E-11
C01,T,-2.432835E-9,-1.855945E-10,-2.319931E-10,-4.887322E-10,-6.774200E-10,-8.800273E-10,-1.071808E-9,-1.218737E-9,NMDG60/2,2.710828E+8,1.565120E-11
D01,T,-1.316174E-9,-6.805132E-11,-1.252763E-10,-2.165269E-10,-3.093242E-10,-4.114012E-10,-4.608930E-10,-5.505971E-10,NMDG60/2,9.670992E+8,3.980220E-12
E01,T,-2.273533E-10,2.196202E-10,1.546621E-10,-1.391959E-11,-9.743711E-11,-4.021214E-11,-1.036236E-10,-9.898374E-11,NMDG60/2,1.712666E+7,NaN
F01,F,-4.330539E-11,-4.794525E-11,-4.175876E-11,-3.711890E-11,-4.949187E-11,-3.711890E-11,-4.949187E-11,-5.413173E-11,NMDG60/2,NaN,NaN
G01,F,-5.258511E-11,-4.949187E-11,-5.258511E-11,-4.949187E-11,-4.794525E-11,-4.330539E-11,-5.103849E-11,-5.722497E-11,NMDG60/2,NaN,NaN
H01,F,5.103849E-11,-2.366330E-10,-1.685817E-10,-1.175432E-10,-1.129033E-10,-1.190898E-10,-1.190898E-10,-1.113567E-10,NMDG60/2,7.984862E+7,9.692065E-12
I01,T,-5.751883E-9,-3.139640E-10,-1.305348E-9,-2.261160E-9,-2.981885E-9,-3.506190E-9,-3.939244E-9,-4.212995E-9,NMDG60/2,5.635909E+8,1.709045E-11
J01,T,-4.226915E-9,-1.855945E-10,-6.140085E-10,-1.136766E-9,-1.602299E-9,-2.007514E-9,-2.306012E-9,-2.610696E-9,NMDG60/2,2.294119E+9,1.242780E-11
K01,T,-1.350200E-9,-2.165269E-10,-2.335397E-10,-4.686261E-10,-6.990726E-10,-8.398152E-10,-9.666381E-10,-1.042422E-9,NMDG60/2,6.976978E+8,1.116473E-11
L01,T,-5.877159E-11,-1.020770E-10,-1.221831E-10,-1.314628E-10,-1.268229E-10,-1.330094E-10,-1.221831E-10,-1.206364E-10,NMDG60/2,1.585554E+8,NaN
M01,T,7.578443E-11,8.506415E-11,8.042429E-11,1.020770E-10,1.036236E-10,1.005304E-10,1.036236E-10,1.113567E-10,NMDG60/2,1.227397E+9,8.878813E-12
N01,T,-4.794525E-11,-8.042429E-11,-5.722497E-11,-4.485201E-11,-4.485201E-11,-3.866552E-11,-4.175876E-11,-4.021214E-11,NMDG60/2,2.229946E+9,4.502292E-12
O01,T,-6.619538E-10,-1.685817E-10,-1.407425E-10,-1.391959E-10,-1.577553E-10,-1.438357E-10,-1.685817E-10,-1.840479E-10,NMDG60/2,3.131412E+8,6.252510E-12
P01,T,-1.229564E-9,-1.237297E-10,-1.361026E-10,-1.376493E-10,-1.438357E-10,-2.118871E-10,-2.660188E-10,-2.722053E-10,NMDG60/2,5.992803E+8,5.938569E-12
A02,T,-2.581310E-9,-1.902344E-10,-5.011052E-10,-8.521881E-10,-1.146046E-9,-1.323908E-9,-1.517235E-9,-1.625499E-9,NMDG60/2,8.153835E+8,6.548921E-12
B02,T,-2.524085E-9,-1.608486E-10,-4.005748E-10,-6.557673E-10,-9.619981E-10,-1.197085E-9,-1.348653E-9,-1.551261E-9,NMDG60/2,4.865291E+8,1.206804E-11
C02,T,-1.469290E-9,-1.098101E-10,-2.675654E-10,-4.748126E-10,-6.078220E-10,-7.593909E-10,-8.382685E-10,-1.009943E-9,NMDG60/2,5.767738E+8,3.152991E-11
D02,F,-1.639418E-10,-9.898374E-11,-9.434387E-11,-9.589050E-11,-1.206364E-10,-7.578443E-11,-1.082635E-10,-9.898374E-11,NMDG60/2,7.777657E+8,4.359565E-12
E02,F,-3.046843E-10,1.388866E-9,9.527185E-10,6.882463E-10,4.670795E-10,5.072917E-10,3.325235E-10,3.015911E-10,NMDG60/2,1.677127E+7,NaN
F02,F,-2.242600E-10,-1.758508E-9,-1.818826E-9,-1.801813E-9,-1.718296E-9,-1.603846E-9,-1.555901E-9,-1.506409E-9,NMDG60/2,2.579689E+7,1.000000E-12
G02,F,-4.949187E-11,-4.949187E-11,-4.949187E-11,-4.949187E-11,-5.258511E-11,-4.949187E-11,-4.949187E-11,-4.949187E-11,NMDG60/2,NaN,NaN
H02,F,-1.755415E-9,-1.995141E-10,-2.722053E-10,-5.134781E-10,-7.764037E-10,-9.511718E-10,-1.085728E-9,-1.192445E-9,NMDG60/2,4.174667E+8,8.176019E-12
I02,F,-3.402566E-11,-1.948742E-10,-1.685817E-10,-1.407425E-10,-1.190898E-10,-1.129033E-10,-8.970402E-11,-8.351753E-11,NMDG60/2,3.017612E+8,3.177695E-12
J02,T,-1.036236E-10,-5.413173E-11,-4.949187E-11,-4.639863E-11,-3.711890E-11,-3.711890E-11,-3.247904E-11,-3.247904E-11,NMDG60/2,7.326082E+8,3.105896E-12
K02,T,-8.784807E-10,-2.381796E-10,-2.304465E-10,-2.227134E-10,-2.242600E-10,-2.799384E-10,-2.752985E-10,-2.799384E-10,NMDG60/2,4.843557E+9,4.487195E-12
L02,T,-2.545738E-9,-4.639863E-11,-1.005304E-10,-1.654884E-10,-2.660188E-10,-3.371634E-10,-4.083079E-10,-5.041984E-10,NMDG60/2,4.110368E+8,4.763946E-12
M02,T,-3.501550E-9,-2.304465E-10,-3.882019E-10,-6.619538E-10,-9.836509E-10,-1.260496E-9,-1.498676E-9,-1.761601E-9,NMDG60/2,2.654653E+8,5.270096E-12
N02,T,-2.856609E-9,3.093242E-11,-1.855945E-10,-4.639863E-10,-6.604071E-10,-9.233327E-10,-1.101194E-9,-1.263589E-9,NMDG60/2,4.079168E+9,1.019586E-11
O02,T,-1.597659E-9,-9.743711E-11,-3.325235E-10,-6.433943E-10,-9.341590E-10,-1.073355E-9,-1.192445E-9,-1.299162E-9,NMDG60/2,1.096794E+9,1.286082E-11
P02,T,-5.567835E-11,-3.402566E-11,-3.711890E-11,-3.557228E-11,-4.485201E-11,-5.413173E-11,-5.722497E-11,-7.269118E-11,NMDG60/2,3.635953E+8,8.688524E-12
A03,T,-5.957584E-9,-6.403010E-10,-2.217854E-9,-3.388646E-9,-4.076893E-9,-4.525413E-9,-4.794525E-9,-5.011052E-9,NMDG60/2,3.258638E+9,1.300835E-11
B03,F,-1.062529E-9,-1.098101E-10,-1.159966E-10,-1.716749E-10,-2.196202E-10,-2.907647E-10,-3.186039E-10,-3.804687E-10,NMDG60/2,5.433455E+8,1.177838E-11
C03,T,-1.353293E-9,-3.402566E-11,-9.125063E-11,-1.407425E-10,-2.196202E-10,-2.644722E-10,-3.448965E-10,-4.036680E-10,NMDG60/2,8.780695E+8,4.191738E-12
