Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
N02,T,-3.074682E-9,-2.748345E-9,-2.780824E-9,-2.825676E-9,-2.845782E-9,-2.975699E-9,-2.961779E-9,-2.992711E-9,NMDG60/2,1.328960E+10,9.793724E-12
O02,T,-1.538888E-9,-1.528061E-9,-1.524968E-9,-1.532701E-9,-1.521875E-9,-1.535795E-9,-1.532701E-9,-1.535795E-9,NMDG60/2,8.403016E+8,1.270433E-11
P02,T,-7.733104E-11,-9.898374E-11,-7.887767E-11,-9.279726E-11,-8.815739E-11,-1.098101E-10,-9.743711E-11,-9.898374E-11,NMDG60/2,3.002308E+8,8.640407E-12
A03,T,-6.030275E-9,-5.939024E-9,-5.942117E-9,-5.945211E-9,-5.957584E-9,-5.977690E-9,-5.986970E-9,-5.999342E-9,NMDG60/2,1.806579E+10,1.309576E-11
B03,F,-1.163059E-9,-1.039329E-9,-1.048609E-9,-1.067168E-9,-1.093461E-9,-1.121300E-9,-1.146046E-9,-1.161512E-9,NMDG60/2,5.368737E+8,1.167554E-11
C03,T,-1.322361E-9,-1.088821E-9,-1.110474E-9,-1.175432E-9,-1.169245E-9,-1.215644E-9,-1.248123E-9,-1.292975E-9,NMDG60/2,9.197443E+8,4.244979E-12
D03,F,-7.269118E-11,-5.567835E-11,-4.639863E-11,-4.021214E-11,-3.247904E-11,-2.319931E-11,-2.783918E-11,-2.783918E-11,NMDG60/2,1.295555E+8,2.170678E-12
E03,F,-2.468407E-9,-2.309105E-9,-2.330758E-9,-2.349317E-9,-2.377156E-9,-2.389529E-9,-2.412729E-9,-2.452941E-9,NMDG60/2,2.438242E+8,5.640101E-12
F03,T,-3.260277E-9,-2.787011E-9,-2.766905E-9,-2.779278E-9,-2.845782E-9,-2.904554E-9,-2.946313E-9,-3.042203E-9,NMDG60/2,7.872889E+8,6.307061E-12
G03,T,-3.844900E-9,-3.687144E-9,-3.702610E-9,-3.731996E-9,-3.735090E-9,-3.767568E-9,-3.783035E-9,-3.792314E-9,NMDG60/2,5.828601E+8,1.203742E-11
H03,T,1.825013E-10,8.661077E-11,6.186483E-11,5.258511E-11,5.258511E-11,5.877159E-11,7.423780E-11,9.589050E-11,NMDG60/2,8.035246E+6,NaN
I03,T,-5.877159E-11,-6.341146E-11,-6.186483E-11,-6.031822E-11,-5.722497E-11,-6.495808E-11,-6.495808E-11,-6.341146E-11,NMDG60/2,6.827404E+8,6.506267E-12
J03,T,-2.531818E-9,-1.846665E-9,-1.928636E-9,-1.995141E-9,-2.039993E-9,-2.251880E-9,-2.355504E-9,-2.485420E-9,NMDG60/2,9.522291E+8,1.341909E-11
K03,T,-3.507736E-9,-2.986525E-9,-3.043750E-9,-3.122628E-9,-3.148920E-9,-3.297396E-9,-3.365447E-9,-3.427312E-9,NMDG60/2,4.567586E+8,1.202477E-11
L03,T,-1.654884E-10,-9.434387E-11,-8.351753E-11,-9.125063E-11,-9.279726E-11,-1.067168E-10,-1.190898E-10,-1.469290E-10,NMDG60/2,1.251646E+9,2.084403E-12
M03,T,-4.958467E-9,-4.397043E-9,-4.483654E-9,-4.533146E-9,-4.574904E-9,-4.748126E-9,-4.822364E-9,-4.870309E-9,NMDG60/2,7.035196E+8,6.565721E-12
N03,T,-2.691120E-10,-2.752985E-10,-2.768451E-10,-3.124174E-10,-3.000445E-10,-2.861249E-10,-3.015911E-10,-3.046843E-10,NMDG60/2,1.361749E+9,8.313530E-12
O03,T,-5.775083E-9,-5.393067E-9,-5.458025E-9,-5.526076E-9,-5.544636E-9,-5.621967E-9,-5.657539E-9,-5.688471E-9,NMDG60/2,4.331021E+8,1.201019E-11
P03,T,-2.134337E-10,-2.165269E-10,-2.180735E-10,-2.258067E-10,-2.211668E-10,-2.211668E-10,-2.211668E-10,-2.118871E-10,NMDG60/2,3.299908E+8,4.679304E-12
A04,T,-4.002655E-9,-3.662398E-9,-3.677864E-9,-3.710344E-9,-3.776848E-9,-3.874285E-9,-3.912951E-9,-3.962443E-9,NMDG60/2,6.125531E+8,8.241525E-12
B04,T,-8.135226E-10,-7.779503E-10,-7.918699E-10,-7.841368E-10,-8.135226E-10,-7.794969E-10,-8.042429E-10,-8.197091E-10,NMDG60/2,6.950520E+8,1.235736E-11
C04,F,-1.772428E-9,-1.712109E-9,-1.709016E-9,-1.719842E-9,-1.729122E-9,-1.726029E-9,-1.730669E-9,-1.741495E-9,NMDG60/2,2.905442E+8,1.115675E-11
D04,F,-4.913614E-9,-4.803804E-9,-4.809991E-9,-4.837830E-9,-4.867216E-9,-4.874949E-9,-4.899695E-9,-4.912068E-9,NMDG60/2,3.393555E+8,1.037621E-11
