Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
Time of Sweep ,,3.3670,3.3670,3.3670,3.3670,3.3670,3.3670,3.3670,3.3670,3.3670,3.3670,3.3670
A01,T,-3.777958E-10,-3.375388E-10,-3.530223E-10,-3.514739E-10,-3.437322E-10,-3.514739E-10,-3.855375E-10,-3.932792E-10,NMDG60/2,1.222448E+9,1.675313E-11
B01,T,-4.061304E-9,-3.898728E-9,-3.921953E-9,-3.943630E-9,-3.965307E-9,-4.007112E-9,-4.017951E-9,-4.045821E-9,NMDG60/2,4.865009E+8,1.471064E-11
C01,T,-3.112170E-10,-1.935429E-10,-2.090263E-10,-2.198647E-10,-2.105747E-10,-2.477349E-10,-2.601217E-10,-2.817985E-10,NMDG60/2,6.602190E+8,8.052943E-12
D01,T,-4.731737E-9,-4.514969E-9,-4.576903E-9,-4.587741E-9,-4.609418E-9,-4.686835E-9,-4.708512E-9,-4.706964E-9,NMDG60/2,4.383069E+8,1.987789E-11
E01,F,4.505679E-10,4.923731E-10,5.202433E-10,5.434685E-10,5.419201E-10,5.481135E-10,5.279850E-10,5.248884E-10,NMDG60/2,5.763572E+7,2.093225E-11
F01,F,-1.997363E-10,-1.919946E-10,-1.672211E-10,-1.625760E-10,-1.610277E-10,-1.672211E-10,-1.765111E-10,-1.827045E-10,NMDG60/2,2.755924E+8,9.684866E-12
G01,F,1.997363E-10,1.966396E-10,2.043813E-10,2.121230E-10,1.827045E-10,2.043813E-10,2.337998E-10,2.415415E-10,NMDG60/2,1.351454E+8,1.223901E-11
H01,T,-5.580229E-9,-5.378944E-9,-5.409911E-9,-5.434685E-9,-5.454813E-9,-5.499715E-9,-5.515199E-9,-5.550810E-9,NMDG60/2,9.259462E+8,2.052497E-11
I01,T,-2.466511E-9,-2.063942E-9,-2.113488E-9,-2.136714E-9,-2.198647E-9,-2.311676E-9,-2.347288E-9,-2.399932E-9,NMDG60/2,5.065759E+8,7.841308E-12
J01,T,-4.708512E-9,-4.378715E-9,-4.448390E-9,-4.493292E-9,-4.496389E-9,-4.589289E-9,-4.621805E-9,-4.662061E-9,NMDG60/2,1.990157E+9,1.507525E-11
K01,F,-2.520703E-9,-2.255936E-9,-2.283806E-9,-2.344192E-9,-2.345740E-9,-2.415415E-9,-2.463414E-9,-2.505219E-9,NMDG60/2,3.506247E+8,1.121671E-11
L01,F,3.716024E-11,6.967545E-11,1.021907E-10,6.812710E-11,7.741716E-11,8.361054E-11,1.021907E-10,9.909397E-11,NMDG60/2,2.412566E+8,1.965441E-11
M01,F,4.645030E-11,4.799864E-11,4.954698E-11,5.574036E-11,5.109533E-11,5.574036E-11,4.335361E-11,5.264367E-11,NMDG60/2,NaN,NaN
N01,T,-1.336220E-9,-5.914672E-10,-6.657876E-10,-7.199796E-10,-7.416564E-10,-9.413927E-10,-1.059067E-9,-1.181386E-9,NMDG60/2,4.787730E+9,7.792117E-12
O01,T,-6.503042E-11,-5.264367E-11,-5.264367E-11,-4.645030E-11,-5.109533E-11,-6.503042E-11,-6.967545E-11,-7.122379E-11,NMDG60/2,4.535235E+8,7.391629E-12
P01,F,-8.361054E-10,-7.184313E-10,-7.401081E-10,-7.509465E-10,-7.741716E-10,-8.175253E-10,-8.453954E-10,-8.314603E-10,NMDG60/2,5.951744E+8,4.964939E-12
A02,T,-5.372751E-9,-5.190047E-9,-5.207078E-9,-5.200885E-9,-5.188498E-9,-5.244239E-9,-5.276754E-9,-5.272109E-9,NMDG60/2,1.655182E+9,1.236802E-11
B02,T,2.012846E-11,-4.645030E-12,1.548343E-12,7.741716E-12,9.290060E-12,1.703178E-11,1.703178E-11,1.858012E-11,NMDG60/2,3.280488E+8,3.442188E-12
