Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac8,RecInac9,RecInac10,RecInac15,RecInac20,RecInac25,RecInac30,Compound Name,Seal Resistance,Capacitance
N02,F,-6.039100E-11,-4.180915E-11,-3.406671E-11,-2.167882E-11,3.871218E-11,1.052971E-10,1.331699E-10,1.207820E-10,NMDG60/2,1.776709E+11,1.880617E-11
O02,F,-1.903091E-9,-1.130396E-9,-1.198529E-9,-1.313117E-9,-1.531454E-9,-1.639848E-9,-1.715724E-9,-1.785406E-9,NMDG60/2,4.554703E+8,1.374604E-11
P02,F,-1.752887E-9,-2.663398E-10,-2.756307E-10,-3.375702E-10,-4.444158E-10,-5.218401E-10,-6.627525E-10,-6.813343E-10,NMDG60/2,8.141115E+8,1.434601E-11
A03,T,-1.161365E-10,-1.641396E-10,-1.362669E-10,-1.130395E-10,-1.037486E-10,-9.445771E-11,-8.516679E-11,-9.755469E-11,NMDG60/2,9.280838E+8,2.563692E-11
B03,F,-2.898768E-9,-1.046777E-9,-1.145880E-9,-1.283696E-9,-1.687851E-9,-1.991354E-9,-2.169430E-9,-2.321182E-9,NMDG60/2,1.181261E+9,1.283372E-11
C03,T,-7.587586E-11,-5.110007E-11,-5.574553E-11,-5.574553E-11,-4.955159E-11,-5.110007E-11,-4.645461E-11,-4.026066E-11,NMDG60/2,1.410666E+9,9.703194E-12
D03,F,1.238790E-11,7.742435E-12,1.083941E-11,-1.703336E-11,1.238790E-11,0.000000E+0,1.548487E-11,1.858184E-11,NMDG60/2,5.661238E+8,1.155311E-11
E03,F,-1.083941E-10,-1.207820E-10,-1.207820E-10,-1.192335E-10,-1.300729E-10,-1.254274E-10,-1.099426E-10,-1.145880E-10,NMDG60/2,8.729997E+8,9.869534E-12
F03,T,-1.935609E-10,-8.516679E-11,-7.432738E-11,-8.052133E-11,-9.600620E-11,-9.910317E-11,-1.099426E-10,-1.207820E-10,NMDG60/2,1.221275E+9,4.844307E-12
G03,T,-2.039357E-9,-5.559068E-10,-6.704949E-10,-7.417253E-10,-1.015807E-9,-1.251177E-9,-1.406026E-9,-1.515969E-9,NMDG60/2,1.245014E+9,1.546060E-11
H03,T,-1.121105E-9,-7.339829E-10,-7.695981E-10,-8.067618E-10,-9.306407E-10,-9.956772E-10,-1.020453E-9,-1.051423E-9,NMDG60/2,1.749353E+9,8.941257E-12
I03,T,-4.256791E-9,-1.765275E-9,-1.978966E-9,-2.157043E-9,-2.736177E-9,-3.118653E-9,-3.335441E-9,-3.507323E-9,NMDG60/2,1.498206E+9,1.240589E-11
J03,T,-3.018001E-9,-1.460223E-9,-1.573263E-9,-1.735854E-9,-2.088909E-9,-2.341312E-9,-2.489967E-9,-2.585973E-9,NMDG60/2,1.267090E+9,1.365192E-11
K03,T,-1.333247E-9,-1.935609E-10,-2.121427E-10,-2.663398E-10,-3.453126E-10,-4.691916E-10,-5.466159E-10,-6.193948E-10,NMDG60/2,1.956605E+9,4.263873E-12
L03,F,1.997548E-10,2.942125E-10,3.158914E-10,2.988580E-10,3.127944E-10,2.709852E-10,2.880186E-10,3.035034E-10,NMDG60/2,5.451475E+8,1.652160E-11
M03,F,-4.589716E-9,-4.024518E-9,-4.063230E-9,-4.137557E-9,-4.372927E-9,-4.406994E-9,-4.444158E-9,-4.487515E-9,NMDG60/2,4.178103E+8,1.282097E-11
N03,F,-7.587586E-11,-8.981225E-11,-1.114911E-10,-1.052971E-10,-1.068456E-10,-1.099426E-10,-9.910317E-11,-9.910317E-11,NMDG60/2,5.305811E+8,7.357882E-12
O03,F,-7.603072E-10,-1.951094E-10,-1.935609E-10,-2.059488E-10,-1.951094E-10,-2.183367E-10,-2.384670E-10,-2.818246E-10,NMDG60/2,5.898036E+8,1.433942E-11
P03,T,-7.479192E-10,-1.393638E-10,-1.424608E-10,-1.440093E-10,-2.167882E-10,-2.663398E-10,-3.282792E-10,-3.778308E-10,NMDG60/2,6.744516E+8,7.476560E-12
