Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac1,RecInac2,RecInac3,RecInac4,RecInac5,RecInac6,RecInac7,Compound Name,Seal Resistance,Capacitance
Time of Sweep ,,4.3650,4.3650,4.3650,4.3650,4.3650,4.3650,4.3650,4.3650,4.3650,4.3650,4.3650
A01,T,-1.793103E-9,-5.101067E-11,-7.110579E-11,-1.313911E-10,-1.715814E-10,-2.658738E-10,-3.462543E-10,-3.926276E-10,NMDG60/2,1.906568E+9,1.312610E-11
B01,T,-4.791912E-11,-7.110579E-11,-8.656357E-11,-9.120091E-11,-7.728890E-11,-6.801423E-11,-6.801423E-11,-5.719379E-11,NMDG60/2,7.046708E+8,1.230411E-11
C01,T,9.120090E-10,3.014267E-10,3.648036E-10,4.328179E-10,4.436383E-10,4.807370E-10,4.915574E-10,5.116526E-10,NMDG60/2,6.633110E+7,3.517179E-11
D01,T,-5.410223E-11,-1.174791E-10,-1.020213E-10,-8.347201E-11,-6.028535E-11,-4.637334E-11,-3.709867E-11,-3.246134E-11,NMDG60/2,5.559281E+8,3.993851E-12
E01,T,-2.519618E-10,-2.473245E-11,-2.782401E-11,-4.328178E-11,-3.864445E-11,-6.183112E-11,-7.728890E-11,-6.337690E-11,NMDG60/2,2.388708E+8,8.699507E-12
F01,T,-4.575503E-9,-2.210463E-10,-1.298454E-10,-4.235432E-10,-8.130793E-10,-1.103685E-9,-1.341735E-9,-1.575148E-9,NMDG60/2,2.977999E+9,2.367986E-11
G01,T,-2.627823E-11,-9.274668E-12,-1.391200E-11,-1.391200E-11,-9.274668E-12,-9.274668E-12,-9.274668E-12,-6.183112E-12,NMDG60/2,2.890491E+10,1.040303E-12
H01,T,-1.197978E-9,-3.246134E-11,-4.482756E-11,-5.873957E-11,-8.347201E-11,-1.020213E-10,-1.391200E-10,-2.071343E-10,NMDG60/2,6.537546E+8,7.113888E-12
I01,T,-5.410223E-11,-1.545778E-11,-6.183112E-12,-9.274668E-12,-1.700356E-11,-4.637334E-12,-2.009511E-11,-1.700356E-11,NMDG60/2,1.689714E+9,6.749278E-12
