Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
N02,F,8.084419E-10,9.073717E-10,8.764561E-10,8.841851E-10,8.115335E-10,8.486322E-10,8.455406E-10,8.470863E-10,NMDG60/2,8.301983E+8,7.861124E-12
O02,T,-3.076098E-10,-2.612365E-10,-2.225920E-10,-2.380498E-10,-2.612365E-10,-2.844232E-10,-2.936978E-10,-2.952436E-10,NMDG60/2,1.845334E+9,1.403781E-11
P02,T,-6.956001E-11,-9.274669E-11,-1.174791E-10,-1.282996E-10,-1.623067E-10,-1.715814E-10,-1.669440E-10,-2.133174E-10,NMDG60/2,4.373655E+8,9.367829E-12
A03,T,-2.844232E-10,-6.956001E-11,-6.337690E-11,-8.501779E-11,-1.004756E-10,-1.375742E-10,-1.607609E-10,-2.287752E-10,NMDG60/2,5.189914E+8,1.226636E-11
B03,T,-2.198096E-9,-1.983233E-9,-2.007966E-9,-2.020332E-9,-2.054339E-9,-2.116170E-9,-2.134720E-9,-2.182639E-9,NMDG60/2,6.491629E+8,1.087273E-11
C03,T,-6.028535E-11,-4.946490E-11,-4.173601E-11,-4.482756E-11,-5.255645E-11,-6.646846E-11,-7.110579E-11,-6.492268E-11,NMDG60/2,1.959467E+9,1.139246E-11
D03,T,-4.699166E-10,-1.607609E-10,-2.071343E-10,-1.947680E-10,-2.210463E-10,-3.045183E-10,-3.354338E-10,-3.941734E-10,NMDG60/2,5.298022E+8,8.310365E-12
E03,T,-1.916765E-10,-1.808560E-10,-1.808560E-10,-1.762187E-10,-1.715814E-10,-1.746729E-10,-1.684898E-10,-1.453031E-10,NMDG60/2,1.254837E+8,NaN
F03,T,-9.583824E-11,-7.419734E-11,-8.192624E-11,-7.265157E-11,-7.883468E-11,-8.347201E-11,-8.192624E-11,-7.574313E-11,NMDG60/2,3.516023E+9,1.594223E-11
G03,T,-1.859571E-9,-1.442211E-9,-1.496313E-9,-1.517954E-9,-1.555053E-9,-1.666349E-9,-1.734363E-9,-1.782282E-9,NMDG60/2,1.252881E+9,9.682147E-12
