Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac8,RecInac9,RecInac10,RecInac15,RecInac20,RecInac25,RecInac30,Compound Name,Seal Resistance,Capacitance
Time of Sweep ,,4.1240,4.1240,4.1240,4.1240,4.1240,4.1240,4.1240,4.1240,4.1240,4.1240,4.1240
A01,T,-8.661077E-11,-7.578443E-11,-8.042429E-11,-7.887767E-11,-9.279726E-11,-8.970402E-11,-8.351753E-11,-7.887767E-11,NMDG60/2,1.042150E+9,1.169002E-11
B01,T,-1.532701E-9,-1.102741E-9,-1.124393E-9,-1.201724E-9,-1.323908E-9,-1.379586E-9,-1.415158E-9,-1.456917E-9,NMDG60/2,6.338401E+8,1.080468E-11
C01,T,-2.494700E-9,-1.381132E-9,-1.531155E-9,-1.593019E-9,-1.933276E-9,-2.125057E-9,-2.203935E-9,-2.282812E-9,NMDG60/2,2.631176E+8,1.618106E-11
D01,T,-1.385772E-9,-6.588605E-10,-7.021659E-10,-7.439246E-10,-8.815739E-10,-1.025410E-9,-1.108927E-9,-1.142953E-9,NMDG60/2,1.004791E+9,4.084531E-12
E01,T,-2.165269E-10,-2.629255E-11,-5.877159E-11,-1.299162E-10,-8.042429E-11,-2.010607E-10,-1.639418E-10,-2.026073E-10,NMDG60/2,1.704893E+7,NaN
F01,F,-4.794525E-11,-3.402566E-11,-3.557228E-11,-4.794525E-11,-4.021214E-11,-4.639863E-11,-3.093242E-11,-3.557228E-11,NMDG60/2,NaN,NaN
G01,F,-4.175876E-11,-3.557228E-11,-3.557228E-11,-4.175876E-11,-4.175876E-11,-4.485201E-11,-4.485201E-11,-4.794525E-11,NMDG60/2,NaN,NaN
H01,F,9.279726E-11,-3.711890E-11,-3.557228E-11,-2.474593E-11,4.639863E-12,1.391959E-11,6.186484E-12,1.082635E-11,NMDG60/2,8.174139E+7,9.150201E-12
I01,T,-5.872519E-9,-4.607384E-9,-4.774419E-9,-4.887322E-9,-5.294083E-9,-5.482771E-9,-5.583301E-9,-5.645166E-9,NMDG60/2,5.320491E+8,1.712270E-11
J01,T,-4.256301E-9,-2.828770E-9,-2.957139E-9,-3.116441E-9,-3.523202E-9,-3.750556E-9,-3.917591E-9,-3.982549E-9,NMDG60/2,2.711871E+9,1.238894E-11
K01,T,-1.339374E-9,-1.064075E-9,-1.104287E-9,-1.127487E-9,-1.220284E-9,-1.260496E-9,-1.272869E-9,-1.300708E-9,NMDG60/2,7.381702E+8,1.115568E-11
L01,T,-2.938580E-11,-8.351753E-11,-7.887767E-11,-8.661077E-11,-8.042429E-11,-3.866552E-11,-3.711890E-11,-3.557228E-11,NMDG60/2,2.139268E+8,8.016316E-12
M01,T,-1.082635E-11,6.650470E-11,1.144499E-10,1.036236E-10,1.608486E-10,2.443661E-10,2.660188E-10,3.046843E-10,NMDG60/2,7.903943E+8,8.490457E-12
N01,T,-2.474593E-11,-1.391959E-11,-1.391959E-11,-6.186484E-12,-2.010607E-11,-2.629255E-11,-2.783918E-11,-2.783918E-11,NMDG60/2,1.288062E+9,4.400522E-12
O01,T,-6.650470E-10,-1.701283E-10,-1.763148E-10,-1.948742E-10,-2.428195E-10,-2.969512E-10,-3.572694E-10,-3.758289E-10,NMDG60/2,3.017126E+8,6.233261E-12
P01,T,-1.280602E-9,-3.294303E-10,-3.665492E-10,-3.804687E-10,-5.351308E-10,-6.696869E-10,-7.315517E-10,-8.475483E-10,NMDG60/2,4.913395E+8,5.900944E-12
A02,T,-2.556564E-9,-1.770881E-9,-1.832746E-9,-1.876051E-9,-2.097218E-9,-2.177642E-9,-2.216308E-9,-2.275079E-9,NMDG60/2,1.268582E+9,6.488703E-12
B02,T,-2.643175E-9,-1.707469E-9,-1.803360E-9,-1.959569E-9,-2.251880E-9,-2.323025E-9,-2.426648E-9,-2.524085E-9,NMDG60/2,4.370647E+8,1.189117E-11
C02,T,-1.481663E-9,-1.039329E-9,-1.087274E-9,-1.175432E-9,-1.337827E-9,-1.419798E-9,-1.444544E-9,-1.477023E-9,NMDG60/2,5.383520E+8,3.146333E-11
