Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac8,RecInac9,RecInac10,RecInac15,RecInac20,RecInac25,RecInac30,Compound Name,Seal Resistance,Capacitance
O02,F,-2.130520E-9,-8.686206E-10,-9.336510E-10,-1.045132E-9,-1.337769E-9,-1.548343E-9,-1.676856E-9,-1.766660E-9,NMDG60/2,6.376184E+8,6.610264E-12
P02,F,-3.428032E-9,-1.952461E-9,-2.080973E-9,-2.189357E-9,-2.564057E-9,-2.825727E-9,-2.958884E-9,-3.030108E-9,NMDG60/2,1.419747E+9,1.297099E-11
A03,T,2.322515E-11,-1.424476E-10,-1.347059E-10,-1.347059E-10,-1.052873E-10,-9.290060E-11,-8.051385E-11,-6.348207E-11,NMDG60/2,2.186451E+8,5.518971E-12
B03,F,7.122379E-11,5.264367E-11,6.193373E-11,5.264367E-11,5.419202E-11,6.503042E-11,5.883705E-11,6.193373E-11,NMDG60/2,2.135322E+8,3.756156E-12
C03,T,-6.518525E-10,-2.941852E-11,-4.180527E-11,-5.109533E-11,-8.980391E-11,-1.238675E-10,-1.656727E-10,-2.121230E-10,NMDG60/2,2.782699E+8,6.673631E-12
D03,F,2.322515E-11,6.193373E-12,4.645030E-12,-7.741716E-12,1.083840E-11,4.645030E-12,2.477349E-11,2.477349E-11,NMDG60/2,6.312093E+8,1.143105E-11
E03,F,-6.464333E-9,-5.818674E-9,-5.829512E-9,-5.891446E-9,-6.139181E-9,-6.190276E-9,-6.213502E-9,-6.249113E-9,NMDG60/2,6.392173E+8,1.449534E-11
F03,T,-7.432048E-10,-1.935429E-10,-2.012846E-10,-2.368965E-10,-3.514739E-10,-4.118593E-10,-4.861798E-10,-5.016632E-10,NMDG60/2,3.502474E+8,8.644538E-12
G03,T,-1.735693E-9,-1.422927E-9,-1.477119E-9,-1.517376E-9,-1.627309E-9,-1.667566E-9,-1.690791E-9,-1.704726E-9,NMDG60/2,3.092062E+9,1.276098E-11
H03,T,-1.470926E-9,-4.459229E-10,-5.001149E-10,-5.419201E-10,-7.137863E-10,-9.073292E-10,-9.986814E-10,-1.113259E-9,NMDG60/2,6.135356E+8,9.063418E-12
I03,T,-1.074550E-9,-4.552129E-10,-5.481135E-10,-6.146923E-10,-7.695266E-10,-8.732656E-10,-9.197159E-10,-9.584245E-10,NMDG60/2,1.704614E+9,1.228651E-11
J03,T,-4.579999E-9,-2.522251E-9,-2.794760E-9,-2.898499E-9,-3.463644E-9,-3.776409E-9,-3.948275E-9,-4.082981E-9,NMDG60/2,4.659700E+8,1.843271E-11
K03,T,-1.241771E-9,-7.044962E-10,-7.912034E-10,-8.252670E-10,-1.006423E-9,-1.090034E-9,-1.133387E-9,-1.162806E-9,NMDG60/2,9.845017E+8,1.418284E-11
L03,F,3.716024E-11,9.290060E-11,1.501893E-10,1.021907E-10,1.285125E-10,1.145774E-10,1.316092E-10,1.238675E-10,NMDG60/2,3.114869E+8,2.575654E-11
M03,F,-5.882156E-9,-5.363461E-9,-5.436233E-9,-5.516747E-9,-5.685517E-9,-5.745902E-9,-5.775320E-9,-5.821771E-9,NMDG60/2,3.916900E+8,1.871790E-11
N03,F,-2.787018E-11,-6.193373E-11,-4.799864E-11,-3.406355E-11,-3.561190E-11,-2.941852E-11,-2.012846E-11,-1.548343E-11,NMDG60/2,1.273487E+9,1.422613E-11
O03,F,-4.645030E-12,0.000000E+0,4.645030E-12,-1.548343E-12,6.193373E-12,-1.548343E-12,7.741716E-12,7.741716E-12,NMDG60/2,3.634134E+8,4.266328E-12
