Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052
Parameter,Valid QC,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance
Time of Sweep ,,3.1800,3.1800,3.1800,3.1800,3.1800,3.1800,3.1800,3.1800,3.1800,3.1800,3.1800,3.1800,8.0320,8.0320,8.0320,8.0320,8.0320,8.0320,8.0320,8.0320,8.0320,8.0320,8.0320,8.0320,13.0620,13.0620,13.0620,13.0620,13.0620,13.0620,13.0620,13.0620,13.0620,13.0620,13.0620,13.0620,18.0470,18.0470,18.0470,18.0470,18.0470,18.0470,18.0470,18.0470,18.0470,18.0470,18.0470,18.0470,23.0670,23.0670,23.0670,23.0670,23.0670,23.0670,23.0670,23.0670,23.0670,23.0670,23.0670,23.0670,28.0810,28.0810,28.0810,28.0810,28.0810,28.0810,28.0810,28.0810,28.0810,28.0810,28.0810,28.0810,33.1070,33.1070,33.1070,33.1070,33.1070,33.1070,33.1070,33.1070,33.1070,33.1070,33.1070,33.1070,38.1000,38.1000,38.1000,38.1000,38.1000,38.1000,38.1000,38.1000,38.1000,38.1000,38.1000,38.1000,43.0740,43.0740,43.0740,43.0740,43.0740,43.0740,43.0740,43.0740,43.0740,43.0740,43.0740,43.0740,48.0640,48.0640,48.0640,48.0640,48.0640,48.0640,48.0640,48.0640,48.0640,48.0640,48.0640,48.0640,53.0770,53.0770,53.0770,53.0770,53.0770,53.0770,53.0770,53.0770,53.0770,53.0770,53.0770,53.0770,58.0830,58.0830,58.0830,58.0830,58.0830,58.0830,58.0830,58.0830,58.0830,58.0830,58.0830,58.0830,63.0570,63.0570,63.0570,63.0570,63.0570,63.0570,63.0570,63.0570,63.0570,63.0570,63.0570,63.0570,68.1060,68.1060,68.1060,68.1060,68.1060,68.1060,68.1060,68.1060,68.1060,68.1060,68.1060,68.1060,73.0720,73.0720,73.0720,73.0720,73.0720,73.0720,73.0720,73.0720,73.0720,73.0720,73.0720,73.0720,78.0710,78.0710,78.0710,78.0710,78.0710,78.0710,78.0710,78.0710,78.0710,78.0710,78.0710,78.0710,83.6180,83.6180,83.6180,83.6180,83.6180,83.6180,83.6180,83.6180,83.6180,83.6180,83.6180,83.6180,88.1600,88.1600,88.1600,88.1600,88.1600,88.1600,88.1600,88.1600,88.1600,88.1600,88.1600,88.1600,93.3250,93.3250,93.3250,93.3250,93.3250,93.3250,93.3250,93.3250,93.3250,93.3250,93.3250,93.3250,98.0980,98.0980,98.0980,98.0980,98.0980,98.0980,98.0980,98.0980,98.0980,98.0980,98.0980,98.0980,103.0460,103.0460,103.0460,103.0460,103.0460,103.0460,103.0460,103.0460,103.0460,103.0460,103.0460,103.0460,108.0570,108.0570,108.0570,108.0570,108.0570,108.0570,108.0570,108.0570,108.0570,108.0570,108.0570,108.0570,113.0990,113.0990,113.0990,113.0990,113.0990,113.0990,113.0990,113.0990,113.0990,113.0990,113.0990,113.0990,118.0460,118.0460,118.0460,118.0460,118.0460,118.0460,118.0460,118.0460,118.0460,118.0460,118.0460,118.0460,123.0320,123.0320,123.0320,123.0320,123.0320,123.0320,123.0320,123.0320,123.0320,123.0320,123.0320,123.0320,128.0320,128.0320,128.0320,128.0320,128.0320,128.0320,128.0320,128.0320,128.0320,128.0320,128.0320,128.0320,133.0790,133.0790,133.0790,133.0790,133.0790,133.0790,133.0790,133.0790,133.0790,133.0790,133.0790,133.0790,138.0270,138.0270,138.0270,138.0270,138.0270,138.0270,138.0270,138.0270,138.0270,138.0270,138.0270,138.0270,143.0230,143.0230,143.0230,143.0230,143.0230,143.0230,143.0230,143.0230,143.0230,143.0230,143.0230,143.0230,148.0490,148.0490,148.0490,148.0490,148.0490,148.0490,148.0490,148.0490,148.0490,148.0490,148.0490,148.0490,153.1520,153.1520,153.1520,153.1520,153.1520,153.1520,153.1520,153.1520,153.1520,153.1520,153.1520,153.1520,158.0720,158.0720,158.0720,158.0720,158.0720,158.0720,158.0720,158.0720,158.0720,158.0720,158.0720,158.0720,163.0680,163.0680,163.0680,163.0680,163.0680,163.0680,163.0680,163.0680,163.0680,163.0680,163.0680,163.0680,168.0160,168.0160,168.0160,168.0160,168.0160,168.0160,168.0160,168.0160,168.0160,168.0160,168.0160,168.0160,173.0830,173.0830,173.0830,173.0830,173.0830,173.0830,173.0830,173.0830,173.0830,173.0830,173.0830,173.0830,178.0580,178.0580,178.0580,178.0580,178.0580,178.0580,178.0580,178.0580,178.0580,178.0580,178.0580,178.0580,183.0620,183.0620,183.0620,183.0620,183.0620,183.0620,183.0620,183.0620,183.0620,183.0620,183.0620,183.0620,188.1320,188.1320,188.1320,188.1320,188.1320,188.1320,188.1320,188.1320,188.1320,188.1320,188.1320,188.1320,193.0210,193.0210,193.0210,193.0210,193.0210,193.0210,193.0210,193.0210,193.0210,193.0210,193.0210,193.0210,198.1130,198.1130,198.1130,198.1130,198.1130,198.1130,198.1130,198.1130,198.1130,198.1130,198.1130,198.1130,203.0460,203.0460,203.0460,203.0460,203.0460,203.0460,203.0460,203.0460,203.0460,203.0460,203.0460,203.0460,208.0600,208.0600,208.0600,208.0600,208.0600,208.0600,208.0600,208.0600,208.0600,208.0600,208.0600,208.0600,213.0700,213.0700,213.0700,213.0700,213.0700,213.0700,213.0700,213.0700,213.0700,213.0700,213.0700,213.0700,218.0570,218.0570,218.0570,218.0570,218.0570,218.0570,218.0570,218.0570,218.0570,218.0570,218.0570,218.0570,223.0740,223.0740,223.0740,223.0740,223.0740,223.0740,223.0740,223.0740,223.0740,223.0740,223.0740,223.0740,228.0580,228.0580,228.0580,228.0580,228.0580,228.0580,228.0580,228.0580,228.0580,228.0580,228.0580,228.0580,233.0580,233.0580,233.0580,233.0580,233.0580,233.0580,233.0580,233.0580,233.0580,233.0580,233.0580,233.0580,238.0690,238.0690,238.0690,238.0690,238.0690,238.0690,238.0690,238.0690,238.0690,238.0690,238.0690,238.0690,243.0520,243.0520,243.0520,243.0520,243.0520,243.0520,243.0520,243.0520,243.0520,243.0520,243.0520,243.0520,248.0600,248.0600,248.0600,248.0600,248.0600,248.0600,248.0600,248.0600,248.0600,248.0600,248.0600,248.0600,253.1290,253.1290,253.1290,253.1290,253.1290,253.1290,253.1290,253.1290,253.1290,253.1290,253.1290,253.1290,258.0830,258.0830,258.0830,258.0830,258.0830,258.0830,258.0830,258.0830,258.0830,258.0830,258.0830,258.0830
