Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac8,RecInac9,RecInac10,RecInac15,RecInac20,RecInac25,RecInac30,Compound Name,Seal Resistance,Capacitance
Time of Sweep ,,4.1110,4.1110,4.1110,4.1110,4.1110,4.1110,4.1110,4.1110,4.1110,4.1110,4.1110
A01,T,-1.893578E-9,-4.992863E-10,-5.441139E-10,-5.935787E-10,-8.640899E-10,-1.001664E-9,-1.214982E-9,-1.312366E-9,NMDG60/2,1.827019E+9,1.302347E-11
B01,T,-4.173601E-11,-6.028535E-11,-5.255645E-11,-4.637334E-11,-4.173601E-11,-4.019023E-11,-3.709867E-11,-3.709867E-11,NMDG60/2,8.312131E+8,1.230548E-11
C01,T,7.466108E-10,4.544587E-10,4.529130E-10,4.297263E-10,4.961948E-10,4.946490E-10,5.425681E-10,5.703921E-10,NMDG60/2,5.066145E+7,6.243240E-11
D01,T,-3.246134E-11,3.091556E-12,0.000000E+0,7.728890E-12,1.854934E-11,1.545778E-11,1.545778E-11,2.164089E-11,NMDG60/2,6.643894E+8,3.972980E-12
E01,T,-2.797858E-10,-8.965512E-11,-8.501779E-11,-9.120091E-11,-1.066587E-10,-1.267538E-10,-1.468489E-10,-1.607609E-10,NMDG60/2,2.247414E+8,8.849530E-12
F01,T,-4.812007E-9,-1.870391E-9,-2.006420E-9,-2.137811E-9,-2.715932E-9,-3.165753E-9,-3.498096E-9,-3.739237E-9,NMDG60/2,1.072162E+9,2.332447E-11
G01,T,-1.700356E-11,0.000000E+0,-1.545778E-12,-6.183112E-12,-1.854934E-11,-1.545778E-11,-1.545778E-11,-1.545778E-11,NMDG60/2,1.025849E+10,1.061493E-12
H01,T,-1.230439E-9,-2.009511E-10,-2.380498E-10,-2.813316E-10,-4.049938E-10,-5.425681E-10,-6.322232E-10,-6.956001E-10,NMDG60/2,7.995461E+8,7.083248E-12
I01,T,-1.020213E-10,-4.328178E-11,-5.101067E-11,-4.328178E-11,-5.564801E-11,-5.410223E-11,-6.337690E-11,-7.419734E-11,NMDG60/2,1.176360E+9,6.777431E-12
J01,T,-1.159334E-9,-2.751485E-10,-3.122472E-10,-3.447085E-10,-4.590961E-10,-6.105823E-10,-6.847797E-10,-7.728890E-10,NMDG60/2,7.127084E+8,5.786953E-12
K01,T,-3.745420E-9,-1.706539E-9,-1.850296E-9,-2.043518E-9,-2.555171E-9,-2.868964E-9,-3.026633E-9,-3.182757E-9,NMDG60/2,4.029164E+8,9.771624E-12
L01,T,-1.391200E-11,-2.627823E-11,-1.545778E-11,-2.782401E-11,-1.082045E-11,-7.728890E-12,-2.009511E-11,-2.164089E-11,NMDG60/2,4.582842E+7,NaN
M01,F,3.246134E-11,-9.120091E-11,-8.965512E-11,-4.791912E-11,-1.391200E-11,-6.183112E-12,2.782401E-11,2.318667E-11,NMDG60/2,4.857095E+8,1.838002E-11
N01,F,6.337690E-11,1.885849E-10,2.318667E-10,1.700356E-10,1.762187E-10,1.839476E-10,1.483947E-10,1.684898E-10,NMDG60/2,1.295952E+8,1.009326E-11
O01,F,-1.020213E-10,-1.205707E-10,-1.530320E-10,-1.561236E-10,-1.607609E-10,-1.669440E-10,-1.870391E-10,-1.731271E-10,NMDG60/2,2.387070E+8,1.942213E-11
P01,T,-2.960165E-9,-1.429845E-9,-1.677169E-9,-1.779191E-9,-2.216646E-9,-2.582995E-9,-2.709749E-9,-2.802496E-9,NMDG60/2,9.364106E+8,7.156390E-12
A02,T,-1.041854E-9,-3.184303E-10,-3.246134E-10,-3.617120E-10,-5.116526E-10,-6.028534E-10,-7.017832E-10,-7.079664E-10,NMDG60/2,5.724212E+8,8.363173E-12
B02,T,-5.966703E-10,-8.038046E-11,-1.082045E-10,-1.143876E-10,-2.040427E-10,-2.828774E-10,-3.400712E-10,-4.034481E-10,NMDG60/2,4.751944E+8,1.174293E-11
C02,T,-1.607609E-9,-3.756241E-10,-4.003565E-10,-4.436383E-10,-6.275859E-10,-8.007131E-10,-8.671815E-10,-9.800233E-10,NMDG60/2,1.795804E+9,1.636646E-11
D02,T,-4.173601E-11,-1.700356E-11,-2.164089E-11,-2.627823E-11,-2.164089E-11,-2.782401E-11,-2.009511E-11,-1.854934E-11,NMDG60/2,4.232709E+9,2.642366E-12
E02,T,-1.265992E-9,-1.221165E-10,-1.252080E-10,-1.375742E-10,-2.272294E-10,-3.215218E-10,-4.281805E-10,-5.023779E-10,NMDG60/2,6.095622E+8,1.197401E-11
F02,T,-2.916883E-9,-5.719379E-10,-6.384063E-10,-6.956001E-10,-9.923895E-10,-1.236622E-9,-1.477764E-9,-1.593697E-9,NMDG60/2,4.036901E+9,1.665558E-11
G02,T,-2.782401E-11,4.637334E-12,6.183112E-12,-1.082045E-11,9.274668E-12,-2.782401E-11,0.000000E+0,4.637334E-12,NMDG60/2,9.947411E+8,1.189605E-11
H02,T,-9.305584E-10,-3.447085E-10,-3.478001E-10,-3.802614E-10,-5.271103E-10,-5.904872E-10,-6.724135E-10,-7.218783E-10,NMDG60/2,5.958558E+8,7.866680E-12
I02,T,-6.043992E-10,-6.492268E-11,-6.646846E-11,-6.028535E-11,-1.051129E-10,-1.329369E-10,-1.545778E-10,-1.978596E-10,NMDG60/2,1.108210E+9,1.140691E-11
J02,T,-1.219619E-9,-2.303209E-10,-2.565992E-10,-2.844232E-10,-4.420925E-10,-5.673005E-10,-6.569557E-10,-7.280614E-10,NMDG60/2,6.757095E+8,1.609752E-11
K02,T,-5.873957E-11,-5.564801E-11,-5.719379E-11,-4.637334E-11,-4.482756E-11,-4.791912E-11,-4.019023E-11,-4.019023E-11,NMDG60/2,2.332823E+8,NaN
