Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac1,RecInac2,RecInac3,RecInac4,RecInac5,RecInac6,RecInac7,Compound Name,Seal Resistance,Capacitance
Time of Sweep ,,4.4630,4.4630,4.4630,4.4630,4.4630,4.4630,4.4630,4.4630,4.4630,4.4630,4.4630
A01,T,-2.942125E-10,-4.088006E-10,-3.995096E-10,-3.019550E-10,-2.508549E-10,-1.796245E-10,-1.517517E-10,-1.362669E-10,NMDG60/2,8.441581E+8,1.109201E-11
B01,T,-6.116524E-10,-1.517517E-10,-1.145880E-10,-1.114911E-10,-1.068456E-10,-1.161365E-10,-1.316214E-10,-1.378153E-10,NMDG60/2,5.548842E+8,3.946256E-12
C01,T,-3.375702E-10,1.548487E-11,1.083941E-11,1.548487E-11,1.548487E-11,1.858184E-11,1.238790E-11,6.193948E-12,NMDG60/2,6.033020E+8,2.938678E-12
D01,T,1.006517E-10,-4.955159E-11,-7.277889E-11,-5.729402E-11,-5.110007E-11,-4.180915E-11,-4.335764E-11,-2.787277E-11,NMDG60/2,1.046632E+7,NaN
E01,F,-2.432673E-9,1.858184E-11,-6.968191E-11,-2.121427E-10,-3.855733E-10,-5.001613E-10,-6.735918E-10,-7.912769E-10,NMDG60/2,9.946606E+7,2.359705E-11
F01,F,-1.951094E-10,9.290922E-11,8.052133E-11,6.658495E-11,6.039100E-11,2.787277E-11,1.083941E-11,9.290922E-12,NMDG60/2,6.741990E+6,NaN
G01,F,-1.006517E-10,-1.563972E-10,-1.316214E-10,-1.207820E-10,-1.068456E-10,-1.192335E-10,-1.192335E-10,-1.037486E-10,NMDG60/2,1.671677E+8,6.715382E-11
H01,T,-1.393638E-11,-3.406671E-11,-2.632428E-11,-1.703336E-11,-2.013033E-11,-2.167882E-11,-1.703336E-11,-1.703336E-11,NMDG60/2,5.657357E+8,3.702093E-12
I01,T,-6.813343E-11,-1.161365E-10,-1.006517E-10,-9.136074E-11,-9.755469E-11,-9.755469E-11,-8.206981E-11,-8.361830E-11,NMDG60/2,2.235239E+8,NaN
J01,T,-2.279373E-9,-3.561520E-11,-6.658495E-11,-1.610427E-10,-2.973095E-10,-4.026066E-10,-4.676431E-10,-5.388735E-10,NMDG60/2,1.389317E+9,9.785338E-12
K01,F,-9.321892E-10,-7.742435E-11,-7.587586E-11,-1.037486E-10,-1.300729E-10,-1.610427E-10,-1.858184E-10,-2.338215E-10,NMDG60/2,3.437924E+8,9.441382E-12
L01,F,-7.742435E-12,4.335764E-11,4.180915E-11,3.096974E-11,-1.393638E-11,1.548487E-12,-2.632428E-11,-3.096974E-12,NMDG60/2,8.138976E+8,8.875982E-12
M01,F,-3.716369E-11,-6.039100E-11,-6.193948E-11,-3.871218E-11,-4.026066E-11,-5.110007E-11,-4.955159E-11,-4.490612E-11,NMDG60/2,1.007869E+8,NaN
N01,F,-2.787277E-11,-8.826376E-11,-7.277889E-11,-6.348796E-11,-4.490612E-11,-1.703336E-11,-1.393638E-11,-2.013033E-11,NMDG60/2,5.060548E+7,NaN
O01,F,-2.833731E-9,-3.933157E-10,-4.351249E-10,-5.651978E-10,-7.030131E-10,-8.996709E-10,-1.108717E-9,-1.271308E-9,NMDG60/2,5.161678E+8,1.850540E-11
P01,F,-1.889154E-9,-3.251823E-11,-1.022001E-10,-9.445771E-11,-8.052133E-11,-6.658495E-11,-1.796245E-10,-2.074973E-10,NMDG60/2,7.081669E+8,6.691754E-12
