Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
Time of Sweep ,,4.1810,4.1810,4.1810,4.1810,4.1810,4.1810,4.1810,4.1810,4.1810,4.1810,4.1810
A01,T,-2.942125E-10,-2.229821E-10,-2.632428E-10,-2.477579E-10,-2.524034E-10,-2.771792E-10,-2.895671E-10,-2.849216E-10,NMDG60/2,9.545245E+8,1.042815E-11
B01,T,-6.596555E-10,-4.227370E-10,-4.149945E-10,-4.800310E-10,-4.924189E-10,-5.450674E-10,-5.868766E-10,-6.364282E-10,NMDG60/2,6.063270E+8,4.089637E-12
C01,T,-4.118975E-10,-1.749790E-10,-2.028518E-10,-2.121427E-10,-2.291761E-10,-2.616943E-10,-3.360217E-10,-3.546035E-10,NMDG60/2,5.186984E+8,3.049046E-12
D01,T,1.285244E-10,4.335764E-11,4.490612E-11,4.955159E-11,6.039100E-11,8.206981E-11,9.600620E-11,1.285244E-10,NMDG60/2,1.123268E+7,NaN
E01,F,-2.539519E-9,-2.166333E-9,-2.229821E-9,-2.271630E-9,-2.310343E-9,-2.414091E-9,-2.465191E-9,-2.507001E-9,NMDG60/2,9.589813E+7,2.371908E-11
F01,F,-2.198852E-10,-1.920124E-10,-1.920124E-10,-1.935609E-10,-1.873669E-10,-2.044003E-10,-2.167882E-10,-2.059488E-10,NMDG60/2,6.763322E+6,NaN
G01,F,-6.968191E-11,-6.503646E-11,-5.110007E-11,-4.335764E-11,-4.180915E-11,-4.490612E-11,-4.180915E-11,-2.322731E-11,NMDG60/2,1.746490E+8,7.668376E-11
H01,T,-7.742435E-12,-1.548487E-12,-3.096974E-12,-6.193948E-12,-9.290922E-12,-6.193948E-12,-7.742435E-12,-4.645461E-12,NMDG60/2,4.732133E+8,3.623333E-12
I01,T,-5.574553E-11,-6.348796E-11,-6.503646E-11,-5.884251E-11,-6.193948E-11,-6.348796E-11,-6.193948E-11,-5.884251E-11,NMDG60/2,2.362993E+8,NaN
J01,T,-2.465191E-9,-1.907736E-9,-1.961933E-9,-2.026969E-9,-2.079618E-9,-2.225176E-9,-2.299503E-9,-2.421834E-9,NMDG60/2,1.795594E+9,9.747345E-12
K01,F,-9.105104E-10,-6.643009E-10,-7.061101E-10,-7.262404E-10,-7.215950E-10,-7.881799E-10,-8.114072E-10,-8.439254E-10,NMDG60/2,2.907560E+8,9.765222E-12
L01,F,-2.632428E-11,0.000000E+0,-1.238790E-11,-1.238790E-11,-5.574553E-11,-2.787277E-11,-4.955159E-11,-5.110007E-11,NMDG60/2,9.936019E+8,9.070224E-12
M01,F,-3.406671E-11,-3.716369E-11,-4.335764E-11,-4.180915E-11,-6.193948E-11,-4.490612E-11,-4.335764E-11,-4.180915E-11,NMDG60/2,1.017874E+8,NaN
N01,F,-7.123040E-11,-8.052133E-11,-8.516679E-11,-9.910317E-11,-1.022001E-10,-1.022001E-10,-1.052971E-10,-9.910317E-11,NMDG60/2,6.197673E+7,NaN
O01,F,-3.048971E-9,-2.827537E-9,-2.847668E-9,-2.918898E-9,-2.931286E-9,-2.996322E-9,-3.021098E-9,-3.031938E-9,NMDG60/2,5.635059E+8,1.802678E-11
P01,F,-2.138461E-9,-1.505129E-9,-1.731209E-9,-1.873669E-9,-1.788503E-9,-2.025421E-9,-2.246855E-9,-2.299503E-9,NMDG60/2,5.790131E+8,6.113176E-12
A02,T,-9.290922E-10,-6.271372E-10,-6.565585E-10,-7.061101E-10,-7.262404E-10,-7.819860E-10,-8.299891E-10,-9.105104E-10,NMDG60/2,7.410739E+8,6.641751E-12
B02,T,-1.946448E-9,-1.531454E-9,-1.585651E-9,-1.629008E-9,-1.672366E-9,-1.800890E-9,-1.858184E-9,-1.901542E-9,NMDG60/2,1.605136E+9,1.284236E-11
C02,T,-6.673979E-10,-2.864701E-10,-3.081489E-10,-3.437641E-10,-3.654430E-10,-4.413188E-10,-4.815794E-10,-5.899736E-10,NMDG60/2,8.117679E+8,6.053741E-12
D02,F,-1.173753E-9,-7.401768E-10,-8.083103E-10,-8.176012E-10,-8.377315E-10,-9.616105E-10,-9.941287E-10,-1.076198E-9,NMDG60/2,2.596768E+8,9.994431E-12
E02,F,-4.026066E-11,-2.942125E-11,-5.264856E-11,-5.729402E-11,-4.800310E-11,-4.490612E-11,-3.251823E-11,-4.490612E-11,NMDG60/2,1.292579E+8,NaN
F02,T,-1.283696E-9,-8.021163E-10,-8.609588E-10,-8.563134E-10,-9.213498E-10,-1.054520E-9,-1.138138E-9,-1.226402E-9,NMDG60/2,2.103842E+9,NaN
G02,F,-5.822312E-10,-4.506097E-10,-5.017098E-10,-5.295825E-10,-5.775856E-10,-6.333312E-10,-6.658494E-10,-7.215950E-10,NMDG60/2,1.379355E+8,4.359858E-11
H02,F,-5.507968E-9,-5.342280E-9,-5.376347E-9,-5.374798E-9,-5.401123E-9,-5.430544E-9,-5.441383E-9,-5.461514E-9,NMDG60/2,9.927544E+8,2.098421E-11
I02,F,-8.981225E-11,-6.193948E-11,-7.432738E-11,-7.432738E-11,-8.981225E-11,-7.897284E-11,-8.981225E-11,-7.897284E-11,NMDG60/2,4.593224E+8,1.502056E-11
