Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 014,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 015,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 016,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 017,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 018,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 019,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 020,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 021,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 022,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 023,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 024,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 025,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 026,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 027,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 028,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 029,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 030,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 031,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 032,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 033,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 034,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 035,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 036,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 037,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 038,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 039,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 040,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 041,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 042,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 043,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 044,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 045,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 046,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 047,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 048,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 049,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 050,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 051,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 052,Sweep 053,Sweep 053,Sweep 053,Sweep 053,Sweep 053,Sweep 053,Sweep 053,Sweep 053,Sweep 053,Sweep 053,Sweep 053,Sweep 053
Parameter,Valid QC,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance,Peak30,Late50_30,Late200_30,Peak,Late50,Late200,RampMin,RampInt,40current,Compound Name,Seal Resistance,Capacitance
Time of Sweep ,,3.0220,3.0220,3.0220,3.0220,3.0220,3.0220,3.0220,3.0220,3.0220,3.0220,3.0220,3.0220,7.9900,7.9900,7.9900,7.9900,7.9900,7.9900,7.9900,7.9900,7.9900,7.9900,7.9900,7.9900,12.9430,12.9430,12.9430,12.9430,12.9430,12.9430,12.9430,12.9430,12.9430,12.9430,12.9430,12.9430,18.0090,18.0090,18.0090,18.0090,18.0090,18.0090,18.0090,18.0090,18.0090,18.0090,18.0090,18.0090,22.9700,22.9700,22.9700,22.9700,22.9700,22.9700,22.9700,22.9700,22.9700,22.9700,22.9700,22.9700,27.9740,27.9740,27.9740,27.9740,27.9740,27.9740,27.9740,27.9740,27.9740,27.9740,27.9740,27.9740,32.9600,32.9600,32.9600,32.9600,32.9600,32.9600,32.9600,32.9600,32.9600,32.9600,32.9600,32.9600,37.9670,37.9670,37.9670,37.9670,37.9670,37.9670,37.9670,37.9670,37.9670,37.9670,37.9670,37.9670,42.9520,42.9520,42.9520,42.9520,42.9520,42.9520,42.9520,42.9520,42.9520,42.9520,42.9520,42.9520,47.9790,47.9790,47.9790,47.9790,47.9790,47.9790,47.9790,47.9790,47.9790,47.9790,47.9790,47.9790,52.9870,52.9870,52.9870,52.9870,52.9870,52.9870,52.9870,52.9870,52.9870,52.9870,52.9870,52.9870,57.9950,57.9950,57.9950,57.9950,57.9950,57.9950,57.9950,57.9950,57.9950,57.9950,57.9950,57.9950,62.9940,62.9940,62.9940,62.9940,62.9940,62.9940,62.9940,62.9940,62.9940,62.9940,62.9940,62.9940,67.9850,67.9850,67.9850,67.9850,67.9850,67.9850,67.9850,67.9850,67.9850,67.9850,67.9850,67.9850,72.9530,72.9530,72.9530,72.9530,72.9530,72.9530,72.9530,72.9530,72.9530,72.9530,72.9530,72.9530,77.9550,77.9550,77.9550,77.9550,77.9550,77.9550,77.9550,77.9550,77.9550,77.9550,77.9550,77.9550,83.0910,83.0910,83.0910,83.0910,83.0910,83.0910,83.0910,83.0910,83.0910,83.0910,83.0910,83.0910,88.0030,88.0030,88.0030,88.0030,88.0030,88.0030,88.0030,88.0030,88.0030,88.0030,88.0030,88.0030,93.3510,93.3510,93.3510,93.3510,93.3510,93.3510,93.3510,93.3510,93.3510,93.3510,93.3510,93.3510,98.0010,98.0010,98.0010,98.0010,98.0010,98.0010,98.0010,98.0010,98.0010,98.0010,98.0010,98.0010,102.9820,102.9820,102.9820,102.9820,102.9820,102.9820,102.9820,102.9820,102.9820,102.9820,102.9820,102.9820,107.9890,107.9890,107.9890,107.9890,107.9890,107.9890,107.9890,107.9890,107.9890,107.9890,107.9890,107.9890,112.9730,112.9730,112.9730,112.9730,112.9730,112.9730,112.9730,112.9730,112.9730,112.9730,112.9730,112.9730,117.9700,117.9700,117.9700,117.9700,117.9700,117.9700,117.9700,117.9700,117.9700,117.9700,117.9700,117.9700,123.0260,123.0260,123.0260,123.0260,123.0260,123.0260,123.0260,123.0260,123.0260,123.0260,123.0260,123.0260,128.0060,128.0060,128.0060,128.0060,128.0060,128.0060,128.0060,128.0060,128.0060,128.0060,128.0060,128.0060,133.0400,133.0400,133.0400,133.0400,133.0400,133.0400,133.0400,133.0400,133.0400,133.0400,133.0400,133.0400,137.9950,137.9950,137.9950,137.9950,137.9950,137.9950,137.9950,137.9950,137.9950,137.9950,137.9950,137.9950,142.9990,142.9990,142.9990,142.9990,142.9990,142.9990,142.9990,142.9990,142.9990,142.9990,142.9990,142.9990,147.9930,147.9930,147.9930,147.9930,147.9930,147.9930,147.9930,147.9930,147.9930,147.9930,147.9930,147.9930,153.0130,153.0130,153.0130,153.0130,153.0130,153.0130,153.0130,153.0130,153.0130,153.0130,153.0130,153.0130,158.0170,158.0170,158.0170,158.0170,158.0170,158.0170,158.0170,158.0170,158.0170,158.0170,158.0170,158.0170,162.9520,162.9520,162.9520,162.9520,162.9520,162.9520,162.9520,162.9520,162.9520,162.9520,162.9520,162.9520,168.0550,168.0550,168.0550,168.0550,168.0550,168.0550,168.0550,168.0550,168.0550,168.0550,168.0550,168.0550,173.0230,173.0230,173.0230,173.0230,173.0230,173.0230,173.0230,173.0230,173.0230,173.0230,173.0230,173.0230,177.9470,177.9470,177.9470,177.9470,177.9470,177.9470,177.9470,177.9470,177.9470,177.9470,177.9470,177.9470,183.0830,183.0830,183.0830,183.0830,183.0830,183.0830,183.0830,183.0830,183.0830,183.0830,183.0830,183.0830,187.9750,187.9750,187.9750,187.9750,187.9750,187.9750,187.9750,187.9750,187.9750,187.9750,187.9750,187.9750,193.0080,193.0080,193.0080,193.0080,193.0080,193.0080,193.0080,193.0080,193.0080,193.0080,193.0080,193.0080,197.9880,197.9880,197.9880,197.9880,197.9880,197.9880,197.9880,197.9880,197.9880,197.9880,197.9880,197.9880,202.9810,202.9810,202.9810,202.9810,202.9810,202.9810,202.9810,202.9810,202.9810,202.9810,202.9810,202.9810,207.9710,207.9710,207.9710,207.9710,207.9710,207.9710,207.9710,207.9710,207.9710,207.9710,207.9710,207.9710,213.0250,213.0250,213.0250,213.0250,213.0250,213.0250,213.0250,213.0250,213.0250,213.0250,213.0250,213.0250,217.9920,217.9920,217.9920,217.9920,217.9920,217.9920,217.9920,217.9920,217.9920,217.9920,217.9920,217.9920,222.9810,222.9810,222.9810,222.9810,222.9810,222.9810,222.9810,222.9810,222.9810,222.9810,222.9810,222.9810,227.9730,227.9730,227.9730,227.9730,227.9730,227.9730,227.9730,227.9730,227.9730,227.9730,227.9730,227.9730,233.0170,233.0170,233.0170,233.0170,233.0170,233.0170,233.0170,233.0170,233.0170,233.0170,233.0170,233.0170,238.0450,238.0450,238.0450,238.0450,238.0450,238.0450,238.0450,238.0450,238.0450,238.0450,238.0450,238.0450,242.9700,242.9700,242.9700,242.9700,242.9700,242.9700,242.9700,242.9700,242.9700,242.9700,242.9700,242.9700,247.9920,247.9920,247.9920,247.9920,247.9920,247.9920,247.9920,247.9920,247.9920,247.9920,247.9920,247.9920,252.9970,252.9970,252.9970,252.9970,252.9970,252.9970,252.9970,252.9970,252.9970,252.9970,252.9970,252.9970,258.0200,258.0200,258.0200,258.0200,258.0200,258.0200,258.0200,258.0200,258.0200,258.0200,258.0200,258.0200,263.0720,263.0720,263.0720,263.0720,263.0720,263.0720,263.0720,263.0720,263.0720,263.0720,263.0720,263.0720
